Dip_ang_deg;Dip_dir_deg;Dip_angle_rad;Dip_dir_rad;X_N;Y_N;Z_N
10;20;0,174532925;0,34906585;0,163175911;0,059391175;0,984807753
5;28;0,087266463;0,488692191;0,076953953;0,040917143;0,996194698
5;29;0,087266463;0,506145483;0,07622813;0,042253943;0,996194698
3;35;0,052359878;0,610865238;0,042871106;0,030018671;0,998629535
2;45;0,034906585;0,785398163;0,024677671;0,024677671;0,999390827
5;44;0,087266463;0,767944871;0,062694595;0,060543466;0,996194698
7;48;0,122173048;0,837758041;0,081546508;0,090566572;0,992546152
3;60;0,052359878;1,047197551;0,026167978;0,045324268;0,998629535
2;77;0,034906585;1,343903524;0,007850679;0,034005025;0,999390827
7;83;0,122173048;1,448623279;0,014852137;0,120960948;0,992546152
5;82;0,087266463;1,431169987;0,012129735;0,086307549;0,996194698
3;83;0,052359878;1,448623279;0,006378149;0,051945852;0,998629535
6;98;0,104719755;1,710422667;-0,01454755;0,103511199;0,994521895
4;99;0,06981317;1,727875959;-0,010912317;0,068897656;0,99756405
6;112;0,104719755;1,954768762;-0,039157052;0,096917103;0,994521895
4;113;0,06981317;1,972222055;-0,027256026;0,064211173;0,99756405
3;117;0,052359878;2,042035225;-0,023760027;0,046631678;0,998629535
2;118;0,034906585;2,059488517;-0,016384321;0,030814427;0,999390827
1;120;0,017453293;2,094395102;-0,008726203;0,015114227;0,999847695
9;120;0,157079633;2,094395102;-0,078217233;0,135476221;0,987688341
6;121;0,104719755;2,111848395;-0,053836138;0,089598381;0,994521895
5;120;0,087266463;2,094395102;-0,043577871;0,075479087;0,996194698
3;121;0,052359878;2,111848395;-0,02695501;0,04486067;0,998629535
3;121;0,052359878;2,111848395;-0,02695501;0,04486067;0,998629535
7;123;0,122173048;2,14675498;-0,066374802;0,102208231;0,992546152
6;124;0,104719755;2,164208272;-0,058451575;0,086658023;0,994521895
5;124;0,087266463;2,164208272;-0,048736873;0,072255385;0,996194698
5;124;0,087266463;2,164208272;-0,048736873;0,072255385;0,996194698
2;124;0,034906585;2,164208272;-0,019515551;0,028932994;0,999390827
4;123;0,06981317;2,14675498;-0,037992099;0,058502701;0,99756405
4;122;0,06981317;2,129301687;-0,036965299;0,059156845;0,99756405
5;122;0,087266463;2,129301687;-0,046185507;0,073912262;0,996194698
5;128;0,087266463;2,234021443;-0,053658433;0,068679663;0,996194698
15;140;0,261799388;2,443460953;-0,198266891;0,166365675;0,965925826
11;141;0,191986218;2,460914245;-0,14828644;0,120079992;0,981627183
9;137;0,157079633;2,391101075;-0,114408925;0,106688049;0,987688341
8;136;0,13962634;2,373647783;-0,100112751;0,09667776;0,990268069
7;135;0,122173048;2,35619449;-0,086174639;0,086174639;0,992546152
6;135;0,104719755;2,35619449;-0,073912785;0,073912785;0,994521895
3;134;0,052359878;2,338741198;-0,03635561;0,037647336;0,998629535
2;135;0,034906585;2,35619449;-0,024677671;0,024677671;0,999390827
7;137;0,122173048;2,391101075;-0,089129595;0,083114692;0,992546152
6;137;0,104719755;2,391101075;-0,076447279;0,071288241;0,994521895
5;137;0,087266463;2,391101075;-0,063741675;0,059440074;0,996194698
4;139;0,06981317;2,42600766;-0,052645879;0,045764364;0,99756405
2;140;0,034906585;2,443460953;-0,026734566;0,022432964;0,999390827
2;141;0,034906585;2,460914245;-0,027122003;0,021962965;0,999390827
3;142;0,052359878;2,478367538;-0,041241296;0,032221232;0,998629535
4;143;0,06981317;2,49582083;-0,055709997;0,041980494;0,99756405
5;142;0,087266463;2,478367538;-0,068679663;0,053658433;0,996194698
6;142;0,104719755;2,478367538;-0,082369553;0,064354148;0,994521895
7;144;0,122173048;2,513274123;-0,09859437;0,071633003;0,992546152
2;150;0,034906585;2,617993878;-0,030223851;0,017449748;0,999390827
4;153;0,06981317;2,670353756;-0,062153473;0,031668776;0,99756405
5;152;0,087266463;2,652900463;-0,076953953;0,040917143;0,996194698
5;152;0,087266463;2,652900463;-0,076953953;0,040917143;0,996194698
6;150;0,104719755;2,617993878;-0,090524305;0,052264232;0,994521895
7;149;0,122173048;2,600540585;-0,104462416;0,062767352;0,992546152
7;149;0,122173048;2,600540585;-0,104462416;0,062767352;0,992546152
8;151;0,13962634;2,635447171;-0,121723537;0,067472458;0,990268069
3;156;0,052359878;2,722713633;-0,047811275;0,021286951;0,998629535
3;159;0,052359878;2,775073511;-0,048859824;0,018755529;0,998629535
2;162;0,034906585;2,827433388;-0,033191394;0,010784538;0,999390827
4;162;0,06981317;2,827433388;-0,066342349;0,021555936;0,99756405
4;164;0,06981317;2,862339973;-0,067054226;0,01922749;0,99756405
7;170;0,122173048;2,967059728;-0,120017874;0,021162389;0,992546152
8;168;0,13962634;2,932153143;-0,136131835;0,028935715;0,990268069
3;176;0,052359878;3,071779484;-0,052208468;0,003650772;0,998629535
1;180;0,017453293;3,141592654;-0,017452406;2,14E-18;0,999847695
7;196;0,122173048;3,420845334;-0,117148332;-0,033591744;0,992546152
3;203;0,052359878;3,543018382;-0,048175502;-0,020449287;0,998629535
2;204;0,034906585;3,560471674;-0,031882277;-0,014194904;0,999390827
2;205;0,034906585;3,577924967;-0,031629686;-0,014749165;0,999390827
4;265;0,06981317;4,625122518;-0,006079677;-0,069491029;0,99756405
6;266;0,104719755;4,64257581;-0,007291537;-0,104273837;0,994521895
7;267;0,122173048;4,660029103;-0,006378149;-0,121702326;0,992546152
1;270;0,017453293;4,71238898;-3,21E-18;-0,017452406;0,999847695
5;270;0,087266463;4,71238898;-1,60E-17;-0,087155743;0,996194698
8;270;0,13962634;4,71238898;-2,56E-17;-0,139173101;0,990268069
9;273;0,157079633;4,764748858;0,008187147;-0,156220077;0,987688341
6;275;0,104719755;4,799655443;0,009110256;-0,104130701;0,994521895
6;275;0,104719755;4,799655443;0,009110256;-0,104130701;0,994521895
